Tipologia Programma - Codice;Progetto - Codice;Progetto - Titolo;Articolazione I livello - Codice;Articolazione III livello;Articolazione IV livello;CI - Campo Intervento - Descrizione;FF - Forma di Finanziamento - Descrizione;TT - Tipo di Territorio - Descrizione;AE - Attività Economica - Descrizione;RA - Risultato Atteso - Descrizione;RA - Obiettivo tematico - Descrizione;Provincia - Descrizione;Stato Attuazione Progetto;Costo Ammesso;Importo Impegni ammessi;Importo Pagamenti ammessi
IGJ;FESR-1-1.1.3-010075D;VILLA RAVENNA S.P.A.;M-1;1b;OS1.1;Investimenti in infrastrutture, capacità e attrezzature nelle PMI direttamente collegati alle attività di ricerca e innovazione;Sovvenzione a fondo perduto;Piccole aree urbane (mediamente popolate > 5 000 abitanti);Altri servizi non specificati;Incremento dell'attività di innovazione delle imprese;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;Concluso;189281,2;189281,2;189281,2
IGJ;FESR-1-1.1.3-010076C;SERIS S.R.L.;M-1;1b;OS1.1;Investimenti in infrastrutture, capacità e attrezzature nelle PMI direttamente collegati alle attività di ricerca e innovazione;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altri servizi non specificati;Incremento dell'attività di innovazione delle imprese;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;Concluso;200000;200000;200000
IGJ;FESR-1-1.1.3-010080D;LUNA ABRASIVI SRL;M-1;1b;OS1.1;Investimenti in infrastrutture, capacità e attrezzature nelle PMI direttamente collegati alle attività di ricerca e innovazione;Sovvenzione a fondo perduto;Piccole aree urbane (mediamente popolate > 5 000 abitanti);Altre industrie manifatturiere non specificate;Incremento dell'attività di innovazione delle imprese;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;LA SPEZIA;Concluso;133440,22;133440,22;133440,22
IGJ;FESR-1-1.1.3-010082D;PARAMED HEALTH SERVICES S.R.L.;M-1;1b;OS1.1;Investimenti in infrastrutture, capacità e attrezzature nelle PMI direttamente collegati alle attività di ricerca e innovazione;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altri servizi non specificati;Incremento dell'attività di innovazione delle imprese;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;Concluso;79378,51;79378,51;79378,51
IGJ;FESR-1-1.1.3-010083D;ERNESTO MARINI S.R.L.;M-1;1b;OS1.1;Investimenti in infrastrutture, capacità e attrezzature nelle PMI direttamente collegati alle attività di ricerca e innovazione;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altre industrie manifatturiere non specificate;Incremento dell'attività di innovazione delle imprese;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;Concluso;39502,81;39502,81;39502,81
IGJ;FESR-1-1.1.3-010085D;ADVANCED MACHINES FOR POWER AND PROPULSION SRL;M-1;1b;OS1.1;Investimenti in infrastrutture, capacità e attrezzature nelle PMI direttamente collegati alle attività di ricerca e innovazione;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Attività connesse all'ambiente e ai cambiamenti climatici;Incremento dell'attività di innovazione delle imprese;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;Concluso;40816,16;40816,16;40816,16
IGJ;FESR-1-1.1.3-010086C;T & G TECHNOLOGY & GROUPWARE - SOCIETA' A RESPONSABILITA'  LIMITATA;M-1;1b;OS1.1;Investimenti in infrastrutture, capacità e attrezzature nelle PMI direttamente collegati alle attività di ricerca e innovazione;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altri servizi non specificati;Incremento dell'attività di innovazione delle imprese;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;Concluso;164198,25;164198,25;164198,25
IGJ;FESR-1-1.1.3-010088C;FOS S.R.L.;M-1;1b;OS1.1;Investimenti in infrastrutture, capacità e attrezzature nelle PMI direttamente collegati alle attività di ricerca e innovazione;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altri servizi non specificati;Incremento dell'attività di innovazione delle imprese;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;Concluso;184338,21;184338,21;184338,21
IGJ;FESR-1-1.1.3-010089D;INTERPORTO RONCHESE LAVAGGI S.R.L.;M-1;1b;OS1.1;Investimenti in infrastrutture, capacità e attrezzature nelle PMI direttamente collegati alle attività di ricerca e innovazione;Sovvenzione a fondo perduto;Piccole aree urbane (mediamente popolate > 5 000 abitanti);Altri servizi non specificati;Incremento dell'attività di innovazione delle imprese;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;Concluso;186310,69;186310,69;186310,69
IGJ;FESR-1-1.1.3-010090C;FOS GREENTECH  SOCIETA' A RESPONSABILITA' LIMITATA;M-1;1b;OS1.1;Investimenti in infrastrutture, capacità e attrezzature nelle PMI direttamente collegati alle attività di ricerca e innovazione;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altri servizi non specificati;Incremento dell'attività di innovazione delle imprese;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;Concluso;111962,6;111962,6;111962,6
IGJ;FESR-1-1.1.3-010091D;ENTERPRISE SHIPPING AGENCY S.R.L.;M-1;1b;OS1.1;Investimenti in infrastrutture, capacità e attrezzature nelle PMI direttamente collegati alle attività di ricerca e innovazione;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Trasporti e stoccaggio;Incremento dell'attività di innovazione delle imprese;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;Concluso;76816,69;76816,69;76816,69
IGJ;FESR-1-1.1.3-010096D;MUNTERS ITALY S.P.A.;M-1;1b;OS1.1;Investimenti in infrastrutture, capacità e attrezzature nelle PMI direttamente collegati alle attività di ricerca e innovazione;Sovvenzione a fondo perduto;Aree rurali (scarsamente popolate);Altre industrie manifatturiere non specificate;Incremento dell'attività di innovazione delle imprese;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;IMPERIA;Concluso;200000;200000;200000
IGJ;FESR-1-1.1.3-010097D;INGENIA S.R.L.;M-1;1b;OS1.1;Investimenti in infrastrutture, capacità e attrezzature nelle PMI direttamente collegati alle attività di ricerca e innovazione;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altri servizi non specificati;Incremento dell'attività di innovazione delle imprese;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;Concluso;39304,51;39304,51;39304,51
IGJ;FESR-1-1.1.3-010100D;NOVIT INNOVAZIONE E TECNOLOGIE S.P.A.;M-1;1b;OS1.1;Investimenti in infrastrutture, capacità e attrezzature nelle PMI direttamente collegati alle attività di ricerca e innovazione;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altri servizi non specificati;Incremento dell'attività di innovazione delle imprese;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;Concluso;200000;200000;200000
IGJ;FESR-1-1.1.3-010101D;CO.GE.MA. S.R.L.;M-1;1b;OS1.1;Investimenti in infrastrutture, capacità e attrezzature nelle PMI direttamente collegati alle attività di ricerca e innovazione;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altri servizi non specificati;Incremento dell'attività di innovazione delle imprese;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;Concluso;200000;200000;200000
IGJ;FESR-1-1.1.3-010102D;P.B.G. S.R.L.;M-1;1b;OS1.1;Investimenti in infrastrutture, capacità e attrezzature nelle PMI direttamente collegati alle attività di ricerca e innovazione;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altri servizi non specificati;Incremento dell'attività di innovazione delle imprese;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;Concluso;55000;55000;55000
IGJ;FESR-1-1.1.3-010103D;DOTT. PAOLO COGORNO;M-1;1b;OS1.1;Investimenti in infrastrutture, capacità e attrezzature nelle PMI direttamente collegati alle attività di ricerca e innovazione;Sovvenzione a fondo perduto;Aree rurali (scarsamente popolate);Altri servizi non specificati;Incremento dell'attività di innovazione delle imprese;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;LA SPEZIA;Concluso;105650,49;105650,49;105650,49
IGJ;FESR-1-1.1.3-010106D;SIR S.R.L.;M-1;1b;OS1.1;Investimenti in infrastrutture, capacità e attrezzature nelle PMI direttamente collegati alle attività di ricerca e innovazione;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altri servizi non specificati;Incremento dell'attività di innovazione delle imprese;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;Concluso;50012,13;50012,13;50012,13
IGJ;FESR-1-1.1.3-010107D;IROI - SOCIETA' A RESPONSABILITA' LIMITATA;M-1;1b;OS1.1;Investimenti in infrastrutture, capacità e attrezzature nelle PMI direttamente collegati alle attività di ricerca e innovazione;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altri servizi non specificati;Incremento dell'attività di innovazione delle imprese;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;Concluso;36628,62;36628,62;36628,62
IGJ;FESR-1-1.1.3-010110D;TANKOA YACHTS S.P.A.;M-1;1b;OS1.1;Investimenti in infrastrutture, capacità e attrezzature nelle PMI direttamente collegati alle attività di ricerca e innovazione;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altre industrie manifatturiere non specificate;Incremento dell'attività di innovazione delle imprese;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;Concluso;188607;188607;188607
IGJ;FESR-1-1.1.3-010114D;GIESSE TECHNOLOGY  S.R.L.;M-1;1b;OS1.1;Investimenti in infrastrutture, capacità e attrezzature nelle PMI direttamente collegati alle attività di ricerca e innovazione;Sovvenzione a fondo perduto;Piccole aree urbane (mediamente popolate > 5 000 abitanti);Altri servizi non specificati;Incremento dell'attività di innovazione delle imprese;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;Concluso;75087,82;75087,82;75087,82
IGJ;FESR-1-1.1.3-010117D;G&O PARTNERS S.R.L.;M-1;1b;OS1.1;Investimenti in infrastrutture, capacità e attrezzature nelle PMI direttamente collegati alle attività di ricerca e innovazione;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altri servizi non specificati;Incremento dell'attività di innovazione delle imprese;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;SAVONA;Concluso;106593,45;106593,45;106593,45
IGJ;FESR-1-1.1.3-010125D;SOFTECO SISMAT S.R.L.;M-1;1b;OS1.1;Investimenti in infrastrutture, capacità e attrezzature nelle PMI direttamente collegati alle attività di ricerca e innovazione;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altri servizi non specificati;Incremento dell'attività di innovazione delle imprese;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;Concluso;51784,2;51784,2;51784,2
IGJ;FESR-1-1.1.3-010128D;SCAMAC S.R.L.;M-1;1b;OS1.1;Investimenti in infrastrutture, capacità e attrezzature nelle PMI direttamente collegati alle attività di ricerca e innovazione;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altre industrie manifatturiere non specificate;Incremento dell'attività di innovazione delle imprese;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;Concluso;189178,17;189178,17;189178,17
IGJ;FESR-1-1.1.3-010129C;ARTYS  S.R.L.;M-1;1b;OS1.1;Investimenti in infrastrutture, capacità e attrezzature nelle PMI direttamente collegati alle attività di ricerca e innovazione;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altri servizi non specificati;Incremento dell'attività di innovazione delle imprese;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;Concluso;57520;57520;57520
IGJ;FESR-1-1.1.3-010130D;CIEM S.R.L.;M-1;1b;OS1.1;Investimenti in infrastrutture, capacità e attrezzature nelle PMI direttamente collegati alle attività di ricerca e innovazione;Sovvenzione a fondo perduto;Aree rurali (scarsamente popolate);Altri servizi non specificati;Incremento dell'attività di innovazione delle imprese;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;IMPERIA;Concluso;52000;52000;52000
IGJ;FESR-1-1.1.3-010136D;SOFTJAM INNOVATION - SOCIETA' A RESPONSABILITA' LIMITATA;M-1;1b;OS1.1;Investimenti in infrastrutture, capacità e attrezzature nelle PMI direttamente collegati alle attività di ricerca e innovazione;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altri servizi non specificati;Incremento dell'attività di innovazione delle imprese;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;Concluso;151480,49;151480,49;151480,49
IGJ;FESR-1-1.1.3-010137D;ULLMANN  SOCIETA' IN ACCOMANDITA SEMPLICE DI GIANFRANCO ULLMANN & C.;M-1;1b;OS1.1;Investimenti in infrastrutture, capacità e attrezzature nelle PMI direttamente collegati alle attività di ricerca e innovazione;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Commercio all'ingrosso e al dettaglio;Incremento dell'attività di innovazione delle imprese;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;Concluso;152000;152000;152000
IGJ;FESR-1-1.1.3-010138D;GIOVANARDI FARMACEUTICI S.N.C. DI FABRIZIO GIOVANARDI;M-1;1b;OS1.1;Investimenti in infrastrutture, capacità e attrezzature nelle PMI direttamente collegati alle attività di ricerca e innovazione;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altre industrie manifatturiere non specificate;Incremento dell'attività di innovazione delle imprese;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;Concluso;35000;35000;35000
IGJ;FESR-1-1.1.3-010139D;ULTRAFLEX CONTROL SYSTEMS  S.R.L.;M-1;1b;OS1.1;Investimenti in infrastrutture, capacità e attrezzature nelle PMI direttamente collegati alle attività di ricerca e innovazione;Sovvenzione a fondo perduto;Piccole aree urbane (mediamente popolate > 5 000 abitanti);Altre industrie manifatturiere non specificate;Incremento dell'attività di innovazione delle imprese;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;GENOVA;Concluso;33679,9;33679,9;33679,9
IGJ;FESR-1-1.1.3-010140D;CLAYVER  S.R.L.;M-1;1b;OS1.1;Investimenti in infrastrutture, capacità e attrezzature nelle PMI direttamente collegati alle attività di ricerca e innovazione;Sovvenzione a fondo perduto;Grandi aree urbane (densamente popolate > 50 000 abitanti);Altre industrie manifatturiere non specificate;Incremento dell'attività di innovazione delle imprese;Rafforzare la ricerca, lo sviluppo tecnologico e l'innovazione;SAVONA;Concluso;50265;50265;50265
